FECHA,GRUPO,MARKET_SHARE
15-mar-96,CABLEVISION RED,0.06898
15-mar-96,MEGACABLE-MCM,0.16988
15-mar-96,ULTRAVISION,0.00956
15-mar-96,DISH-MVS,0.2274
15-mar-96,OTROS,0.04112
15-mar-96,CABLECOM,0.1217
15-mar-96,TV REY,0.00019
15-mar-96,GRUPO TELEVISA,0.36117
15-jun-96,MEGACABLE-MCM,0.1841
15-jun-96,CABLEVISION RED,0.06987
15-jun-96,OTROS,0.03622
15-jun-96,GRUPO TELEVISA,0.36775
15-jun-96,DISH-MVS,0.20971
15-jun-96,ULTRAVISION,0.00869
15-jun-96,TV REY,0.00021
15-jun-96,CABLECOM,0.12345
15-sep-96,TV REY,0.00036
15-sep-96,GRUPO TELEVISA,0.37047
15-sep-96,CABLEVISION RED,0.07208
15-sep-96,CABLECOM,0.12474
15-sep-96,OTROS,0.0348
15-sep-96,MEGACABLE-MCM,0.19366
15-sep-96,ULTRAVISION,0.00843
15-sep-96,DISH-MVS,0.19544
15DEC1996,ULTRAVISION,0.00815
15DEC1996,TV REY,0.00048
15DEC1996,DISH-MVS,0.18216
15DEC1996,CABLECOM,0.12642
15DEC1996,CABLEVISION RED,0.07331
15DEC1996,MEGACABLE-MCM,0.19491
15DEC1996,GRUPO TELEVISA,0.36641
15DEC1996,OTROS,0.04816
15-mar-97,DISH-MVS,0.15937
15-mar-97,TV REY,0.00059
15-mar-97,ULTRAVISION,0.00764
15-mar-97,GRUPO TELEVISA,0.34869
15-mar-97,MEGACABLE-MCM,0.21537
15-mar-97,OTROS,0.07765
15-mar-97,CABLEVISION RED,0.06928
15-mar-97,CABLECOM,0.12141
15-jun-97,MEGACABLE-MCM,0.21398
15-jun-97,DISH-MVS,0.1516
15-jun-97,CABLECOM,0.119
15-jun-97,TV REY,0.0008
15-jun-97,GRUPO TELEVISA,0.34224
15-jun-97,ULTRAVISION,0.00727
15-jun-97,OTROS,0.09618
15-jun-97,CABLEVISION RED,0.06894
15-sep-97,CABLEVISION RED,0.06726
15-sep-97,OTROS,0.11266
15-sep-97,MEGACABLE-MCM,0.20949
15-sep-97,DISH-MVS,0.14866
15-sep-97,TV REY,0.00063
15-sep-97,GRUPO TELEVISA,0.33295
15-sep-97,CABLECOM,0.11459
15-sep-97,ULTRAVISION,0.01376
15DEC1997,DISH-MVS,0.14313
15DEC1997,CABLEVISION RED,0.07013
15DEC1997,CABLECOM,0.11093
15DEC1997,MEGACABLE-MCM,0.20195
15DEC1997,ULTRAVISION,0.01293
15DEC1997,OTROS,0.13818
15DEC1997,GRUPO TELEVISA,0.32216
15DEC1997,TV REY,0.00059
15-mar-98,ULTRAVISION,0.0122
15-mar-98,MEGACABLE-MCM,0.20383
15-mar-98,OTROS,0.16099
15-mar-98,CABLEVISION RED,0.07191
15-mar-98,GRUPO TELEVISA,0.31361
15-mar-98,DISH-MVS,0.12797
15-mar-98,TV REY,0.0012
15-mar-98,CABLECOM,0.1083
15-jun-98,CABLEVISION RED,0.07004
15-jun-98,ULTRAVISION,0.01178
15-jun-98,OTROS,0.18046
15-jun-98,DISH-MVS,0.12094
15-jun-98,CABLECOM,0.10871
15-jun-98,MEGACABLE-MCM,0.20147
15-jun-98,GRUPO TELEVISA,0.30519
15-jun-98,TV REY,0.0014
15-sep-98,DISH-MVS,0.11986
15-sep-98,MEGACABLE-MCM,0.19592
15-sep-98,TV REY,0.00137
15-sep-98,ULTRAVISION,0.01166
15-sep-98,OTROS,0.19162
15-sep-98,GRUPO TELEVISA,0.30279
15-sep-98,CABLECOM,0.10728
15-sep-98,CABLEVISION RED,0.0695
15DEC1998,ULTRAVISION,0.01103
15DEC1998,CABLEVISION RED,0.06689
15DEC1998,OTROS,0.20589
15DEC1998,TV REY,0.00133
15DEC1998,CABLECOM,0.10549
15DEC1998,DISH-MVS,0.11831
15DEC1998,MEGACABLE-MCM,0.18865
15DEC1998,GRUPO TELEVISA,0.3024
15-mar-99,CABLECOM,0.10331
15-mar-99,CABLEVISION RED,0.06481
15-mar-99,GRUPO TELEVISA,0.29475
15-mar-99,TV REY,0.00136
15-mar-99,MEGACABLE-MCM,0.18478
15-mar-99,DISH-MVS,0.11505
15-mar-99,OTROS,0.22569
15-mar-99,ULTRAVISION,0.01024
15-jun-99,MEGACABLE-MCM,0.18171
15-jun-99,DISH-MVS,0.11332
15-jun-99,CABLECOM,0.10173
15-jun-99,TV REY,0.0014
15-jun-99,GRUPO TELEVISA,0.29232
15-jun-99,ULTRAVISION,0.00978
15-jun-99,OTROS,0.23596
15-jun-99,CABLEVISION RED,0.06377
15-sep-99,ULTRAVISION,0.009
15-sep-99,MEGACABLE-MCM,0.17859
15-sep-99,TV REY,0.00139
15-sep-99,CABLECOM,0.09962
15-sep-99,GRUPO TELEVISA,0.29322
15-sep-99,CABLEVISION RED,0.06222
15-sep-99,DISH-MVS,0.11451
15-sep-99,OTROS,0.24144
15DEC1999,ULTRAVISION,0.00852
15DEC1999,OTROS,0.24009
15DEC1999,MEGACABLE-MCM,0.18064
15DEC1999,GRUPO TELEVISA,0.29709
