FOLIO,CONCESIONARIO,K_GRUPO,GRUPO,ANIO,MES,FECHA,K_EMPRESA,EMPRESA,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_AMBOS_E,S_NO_ESPECIFICADO_E,S_TOTAL_E
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,1,15JAN2013,C0378,MEGACABLE,2102,,,,2102
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,2,15-feb-13,C0378,MEGACABLE,2109,,,,2109
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,3,15-mar-13,C0378,MEGACABLE,2095,,,,2095
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,4,15APR2013,C0378,MEGACABLE,2159,,,,2159
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,5,15-may-13,C0378,MEGACABLE,2224,,,,2224
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,6,15-jun-13,C0378,MEGACABLE,2300,,,,2300
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,7,15-jul-13,C0378,MEGACABLE,2300,,,,2300
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,8,15AUG2013,C0378,MEGACABLE,2422,,,,2422
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,9,15-sep-13,C0378,MEGACABLE,2432,,,,2432
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,10,15-oct-13,C0378,MEGACABLE,2438,,,,2438
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,11,15-nov-13,C0378,MEGACABLE,2441,,,,2441
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2013,12,15DEC2013,C0378,MEGACABLE,2444,,,,2444
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,1,15JAN2014,C0378,MEGACABLE,2454,,,,2454
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,2,15-feb-14,C0378,MEGACABLE,2447,,,,2447
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,3,15-mar-14,C0378,MEGACABLE,2456,,,,2456
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,4,15APR2014,C0378,MEGACABLE,2438,,,,2438
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,5,15-may-14,C0378,MEGACABLE,2438,,,,2438
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,6,15-jun-14,C0378,MEGACABLE,2466,,,,2466
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,7,15-jul-14,C0378,MEGACABLE,176,,,,176
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,8,15AUG2014,C0378,MEGACABLE,179,,,,179
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,9,15-sep-14,C0378,MEGACABLE,179,,,,179
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,10,15-oct-14,C0378,MEGACABLE,176,,,,176
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,11,15-nov-14,C0378,MEGACABLE,176,,,,176
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2014,12,15DEC2014,C0378,MEGACABLE,179,,,,179
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2015,1,15JAN2015,C0378,MEGACABLE,185,,,,185
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2015,2,15-feb-15,C0378,MEGACABLE,186,,,,186
100184,JESUS ERNESTO SOTO VEGA,G008,MEGACABLE-MCM,2015,3,15-mar-15,C0378,MEGACABLE,193,,,,193
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,1,15JAN2013,C0378,MEGACABLE,12981,114,,,13095
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,2,15-feb-13,C0378,MEGACABLE,13025,115,,,13140
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,3,15-mar-13,C0378,MEGACABLE,13216,116,,,13332
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,4,15APR2013,C0378,MEGACABLE,13287,116,,,13403
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,5,15-may-13,C0378,MEGACABLE,13296,116,,,13412
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,6,15-jun-13,C0378,MEGACABLE,13348,117,,,13465
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,7,15-jul-13,C0378,MEGACABLE,13175,116,,,13291
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,8,15AUG2013,C0378,MEGACABLE,13166,116,,,13282
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,9,15-sep-13,C0378,MEGACABLE,13286,117,,,13403
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,10,15-oct-13,C0378,MEGACABLE,13547,120,,,13667
100201,JOSE CIPRES VILLASEÑOR,G008,MEGACABLE-MCM,2013,11,15-nov-13,C0378,MEGACABLE,13663,122,,,13785
