ZONA_GEOGRAFICA_STR,ANIO,IHH_CANALES_TRANSMISION,IHH_CANALES_PROGRAMACION
Acaponeta- Tecuala,2014,5556,5000
Acapulco,2014,5200,5200
Acayucan,2014,5000,5000
Agualeguas,2014,10000,10000
Aguascalientes,2014,5200,5200
Cabo San Lucas- San Jose del Cabo,2014,5556,5556
Campeche,2014,5000,5000
Cancun,2014,3600,3600
Celaya,2014,5000,5313
Chetumal,2014,5000,5000
Chihuahua,2014,5000,5200
Chilpancingo,2014,5000,5000
Ciudad del Carmen,2014,5556,5556
Ciudad Obregon,2014,3878,3600
Ciudad Victoria,2014,3889,3889
Coatzacoalcos,2014,5000,5000
Colima-Villa de Alvarez,2014,5200,5200
Comitan,2014,5200,5200
Cordoba,2014,5200,5000
Cuautla,2014,5556,5102
Cuencame,2014,10000,10000
Cuernavaca,2014,5556,5102
Culiacan,2014,5200,5200
Delicias,2014,5200,5000
Durango,2014,5000,5918
Ensenada,2014,5200,5200
Guadalajara,2014,5918,5556
Guanajuato,2014,3889,4063
Guaymas,2014,3750,3750
Hermosillo,2014,5556,5556
Hidalgo del Parral,2014,5000,5000
Juarez,2014,4286,3491
La Laguna,2014,3889,3878
La Paz,2014,5000,5000
La Piedad-Penjamo,2014,10000,10000
Leon,2014,5062,4321
Los Mochis,2014,3600,3600
Matamoros,2014,3061,3125
Matehuala- Cedral-Dr. Arroyo,2014,5556,5556
Mazatlan,2014,5200,5200
Merida,2014,3600,3061
Mexicali,2014,4688,3472
Minatitlan,2014,5000,5000
Monclova-Frontera,2014,5000,5000
Monterrey,2014,4074,3800
Morelia,2014,5556,5556
Moroleon-Uriangato,2014,10000,10000
Nogales,2014,3600,3600
Nuevo Laredo,2014,3889,3878
Oaxaca,2014,5200,5200
Ocotlan,2014,5200,5000
Orizaba,2014,10000,10000
Pachuca,2014,6250,6033
Piedras Negras,2014,3889,3889
Poza Rica,2014,5556,5102
Puebla-Tlaxcala,2014,5556,5102
Puerto Vallarta,2014,5000,5000
Queretaro,2014,5000,5313
Reynosa,2014,3061,3125
Rioverde,2014,3600,3600
Saltillo,2014,4688,4321
San Cristobal de las Casas,2014,5200,5200
San Francisco del Rincon,2014,3889,4063
San Luis Potosf,2014,3889,3889
Santiago Papasquiaro,2014,5556,5556
Tampico,2014,3061,3061
Tapachula,2014,5556,5200
Tecoman,2014,6800,5556
Tehuacan,2014,5556,5000
Tehuantepec,2014,10000,10000
Tepic,2014,3600,3600
Teziutlan,2014,5918,5102
Tianguistenco,2014,5102,5102
Tijuana,2014,3750,3472
Tizimfn- Valladolid,2014,5556,5556
Tlaxcala-Apizaco,2014,5200,5000
Toluca,2014,5000,5102
Tula,2014,5200,5556
Tulancingo,2014,5000,5000
Tulum- Cozumel-Solidaridad,2014,3889,3600
Tuxtla Gutierrez,2014,5556,5200
Uruapan,2014,5200,5556
Valle de Mexico,2014,4321,4792
Veracruz,2014,5918,5313
Villahermosa,2014,5200,5200
Xalapa,2014,6250,5313
Zacatecas-Guadalupe,2014,5200,5200
Zamora,2014,5200,5556
Acaponeta- Tecuala,2019,3086,3000
Acapulco,2019,3889,3600
Acayucan,2019,4074,3600
Agualeguas,2019,3333,3600
Aguascalientes,2019,3889,3600
Cabo San Lucas- San Jose del Cabo,2019,2800,3086
Campeche,2019,2778,3000
Cancun,2019,2245,2561
Celaya,2019,4074,3888
Chetumal,2019,3600,4062
Chihuahua,2019,3125,3194
Chilpancingo,2019,3600,4285
Ciudad del Carmen,2019,2800,2812
Ciudad Obregon,2019,3125,2662
Ciudad Victoria,2019,3061,2662
Coatzacoalcos,2019,3600,3600
Colima-Villa de Alvarez,2019,3889,3580
Comitan,2019,3469,3388
Cordoba,2019,5200,5000
Cuautla,2019,5556,5061
Cuencame,2019,3333,3600
Cuernavaca,2019,4286,3719
Culiacan,2019,3889,4083
Delicias,2019,3061,3086
Durango,2019,3400,2889
Ensenada,2019,5200,5102
Guadalajara,2019,3200,2465
Guanajuato,2019,3889,3472
Guaymas,2019,3750,3469
Hermosillo,2019,4286,3719
