FECHA,IHH_TVRES_E
15-mar-96,2324
15-jun-96,2347
15-sep-96,2350
15DEC1996,2292
15-mar-97,2190
15-jun-97,2141
15-sep-97,2074
15DEC1997,2015
15-mar-98,1992
15-jun-98,1978
15-sep-98,1976
15DEC1998,1991
15-mar-99,2002
15-jun-99,2015
15-sep-99,2031
15DEC1999,2046
15-mar-00,2065
15-jun-00,2077
15-sep-00,2093
15DEC2000,2104
15-mar-01,2179
15-jun-01,2192
15-sep-01,2209
15DEC2001,2616
15-mar-02,2654
15-jun-02,2666
15-sep-02,2678
15DEC2002,2658
15-mar-03,2583
15-jun-03,2545
15-sep-03,2485
15DEC2003,2469
15-mar-04,2432
15-jun-04,2425
15-sep-04,2405
15DEC2004,2472
15-mar-05,2604
15-jun-05,2676
15-sep-05,2677
15DEC2005,2674
15-mar-06,2816
15-jun-06,2850
15-sep-06,2845
15DEC2006,2847
15-mar-07,2850
15-jun-07,2865
15-sep-07,2880
15DEC2007,2865
15-mar-08,2859
15-jun-08,2872
15-sep-08,2881
15DEC2008,2881
15-mar-09,2863
15-jun-09,2789
15-sep-09,2713
15DEC2009,2720
15-mar-10,2740
15-jun-10,2795
15-sep-10,2852
15DEC2010,2971
15-mar-11,3054
15-jun-11,3137
15-sep-11,3190
15DEC2011,3238
15-mar-12,3306
15-jun-12,3369
15-sep-12,3453
15DEC2012,3517
15-mar-13,3797
15-jun-13,3886
15-sep-13,3942
15DEC2013,3936
15-mar-14,3915
15-jun-14,3913
15-sep-14,4484
15DEC2014,4444
15-mar-15,4755
15-jun-15,4707
15-sep-15,4662
15DEC2015,4593
15-mar-16,4829
15-jun-16,4839
15-sep-16,4488
15DEC2016,4507
15-mar-17,4825
15-jun-17,4866
15-sep-17,4921
15DEC2017,5002
15-mar-18,5020
15-jun-18,4944
15-sep-18,4966
15DEC2018,5033
15-mar-19,5026
15-jun-19,5125
15-sep-19,5221
15DEC2019,5239
15-mar-20,5124
15-jun-20,5129
15-sep-20,5086
15DEC2020,5035
15-mar-21,4592
15-jun-21,4681
